11,Aceh
51,Bali
36,Banten
17,Bengkulu
31,DKI Jakarta
75,Gorontalo
15,Jambi
32,Jawa Barat
33,Jawa Tengah
35,Jawa Timur
61,Kalimantan Barat
63,Kalimantan Selatan
62,Kalimantan Tengah
64,Kalimantan Timur
65,Kalimantan Utara
19,Kepulauan Bangka Belitung
21,Kepulauan Riau
18,Lampung
81,Maluku
82,Maluku Utara
52,Nusa Tenggara Barat
53,Nusa Tenggara Timur
94,Papua
91,Papua Barat
14,Riau
76,Sulawesi Barat
73,Sulawesi Selatan
72,Sulawesi Tengah
74,Sulawesi Tenggara
71,Sulawesi Utara
13,Sumatera Barat
16,Sumatera Selatan
12,Sumatera Utara
34,Yogyakarta
